"Region","Train","Val","Test"
"Whole Tumor","0.8200961351394653","0.7155006527900696","0.6795313954353333"
"Tumor Core","0.41894030570983887","0.33447742462158203","0.37567567825317383"
"Enhancing","0.3432920277118683","0.2324863225221634","0.07511091232299805"
