Metric,Region,Val,Test
dice,Whole Tumor,0.652011513710022,0.6214587092399597
dice,Tumor Core,0.01898212730884552,0.02217540703713894
dice,Enhancing,0.1996907889842987,0.05632626265287399
hd95,Whole Tumor,40.686737060546875,53.743995666503906
hd95,Tumor Core,121.59651947021484,127.16329193115234
hd95,Enhancing,64.65310668945312,85.19779968261719
iou,Whole Tumor,0.5633987784385681,0.49324551224708557
iou,Tumor Core,0.009651879779994488,0.011356918141245842
iou,Enhancing,0.12086564302444458,0.030332231894135475
sensitivity,Whole Tumor,0.9543923735618591,0.9384576678276062
sensitivity,Tumor Core,0.9995803236961365,0.9970289468765259
sensitivity,Enhancing,0.9905440211296082,0.800000011920929
specificity,Whole Tumor,0.9897403717041016,0.9850247502326965
specificity,Tumor Core,0.018000459298491478,0.015973877161741257
specificity,Enhancing,0.9692177772521973,0.9674990773200989
