Region,Train,Val,Test
Whole Tumor,0.8950314521789551,0.8624207973480225,0.8042615652084351
Tumor Core,0.8088109493255615,0.7983279228210449,0.5454981327056885
Enhancing,0.6942817568778992,0.728520929813385,0.3416577875614166
