Metric,Region,Val,Test
dice,Whole Tumor,0.737436056137085,0.7405143976211548
dice,Tumor Core,0.6364097595214844,0.4283575415611267
dice,Enhancing,0.5674607157707214,0.2722018361091614
hd95,Whole Tumor,21.550785064697266,48.628578186035156
hd95,Tumor Core,25.42128562927246,57.54142379760742
hd95,Enhancing,27.45834732055664,75.91006469726562
iou,Whole Tumor,0.6281857490539551,0.6401845812797546
iou,Tumor Core,0.5136707425117493,0.30923324823379517
iou,Enhancing,0.4511090815067291,0.19883839786052704
sensitivity,Whole Tumor,0.854817807674408,0.9332051277160645
sensitivity,Tumor Core,0.9234078526496887,0.7095847129821777
sensitivity,Enhancing,0.9400049448013306,0.5911540389060974
specificity,Whole Tumor,0.9972487688064575,0.9920418858528137
specificity,Tumor Core,0.9962090849876404,0.992181658744812
specificity,Enhancing,0.9970191717147827,0.993203341960907
